epoch,train_loss,val_mae,val_rmse,lr
263,2.3e-05,0.007252,0.015292,3.125e-05
264,2.3e-05,0.007223,0.015281,3.125e-05
265,2.3e-05,0.007267,0.015274,3.125e-05
266,2.3e-05,0.007245,0.015292,3.125e-05
267,2.3e-05,0.007336,0.015288,3.125e-05
268,2.3e-05,0.007218,0.015272,3.125e-05
269,2.3e-05,0.007217,0.015266,3.125e-05
270,2.3e-05,0.007214,0.015276,3.125e-05
271,2.3e-05,0.00718,0.015258,3.125e-05
272,2.3e-05,0.007227,0.015259,3.125e-05
273,2.3e-05,0.007179,0.015247,3.125e-05
274,2.3e-05,0.007205,0.015244,3.125e-05
275,2.3e-05,0.007212,0.01528,3.125e-05
276,2.3e-05,0.007191,0.015245,3.125e-05
277,2.3e-05,0.007187,0.01526,3.125e-05
278,2.3e-05,0.007301,0.015309,3.125e-05
279,2.3e-05,0.007203,0.015251,3.125e-05
280,2.3e-05,0.007182,0.015246,3.125e-05
281,2.3e-05,0.007165,0.015232,3.125e-05
282,2.3e-05,0.007187,0.015255,3.125e-05
283,2.3e-05,0.007188,0.015246,3.125e-05
284,2.3e-05,0.007216,0.015297,3.125e-05
285,2.3e-05,0.007211,0.015257,3.125e-05
286,2.3e-05,0.007308,0.01529,3.125e-05
287,2.3e-05,0.007218,0.015266,3.125e-05
288,2.3e-05,0.007215,0.01526,3.125e-05
289,2.3e-05,0.007262,0.015309,3.125e-05
290,2.3e-05,0.007186,0.015265,3.125e-05
291,2.3e-05,0.007298,0.015287,3.125e-05
292,2.3e-05,0.00742,0.015389,1.5625e-05
293,2.3e-05,0.007204,0.015265,1.5625e-05
294,2.3e-05,0.007191,0.015256,1.5625e-05
295,2.3e-05,0.007223,0.015265,1.5625e-05
296,2.3e-05,0.007179,0.015256,1.5625e-05
297,2.3e-05,0.00725,0.015274,1.5625e-05
298,2.3e-05,0.007209,0.015256,1.5625e-05
299,2.3e-05,0.007197,0.015251,1.5625e-05
300,2.3e-05,0.00718,0.015251,1.5625e-05
301,2.3e-05,0.007201,0.015269,1.5625e-05
302,2.3e-05,0.00718,0.015248,1.5625e-05
303,2.3e-05,0.007203,0.015265,7.8125e-06
304,2.3e-05,0.007167,0.015236,7.8125e-06
305,2.3e-05,0.007208,0.015261,7.8125e-06
306,2.3e-05,0.007213,0.015257,7.8125e-06
